text{ key = "dungeon_1.name", value = "Temple de la forêt" }
text{ key = "dungeon_2.name", value = "Temple de l'eau" }
text{ key = "dungeon_3.name", value = "Temple de la montagne" }
text{ key = "dungeon_4.name", value = "Temple du désert" }
text{ key = "dungeon_5.name", value = "Temple de l'ombre" }
text{ key = "dungeon_6.name", value = "Temple du Feu" }
text{ key = "dungeon_7.name", value = "Temple de la Glace" }
text{ key = "dungeon_8.name", value = "Temple secret" }
text{ key = "dungeon_9.name", value = "Château d'Hyrule" }
text{ key = "help.action", value = "Action :" }
text{ key = "help.ctrl_and_direction", value = "Ctrl et direction" }
text{ key = "help.directional_keys", value = "Flèches de direction" }
text{ key = "help.escape", value = "Echap" }
text{ key = "help.fullscreen", value = "Plein écran :" }
text{ key = "help.item", value = "Utiliser l'objet sélectionné :" }
text{ key = "help.keep_pressed_then_release", value = "maintenu puis lâché" }
text{ key = "help.lift", value = "Porter :" }
text{ key = "help.look", value = "Regarder autour :" }
text{ key = "help.map", value = "Afficher la carte :" }
text{ key = "help.menus", value = "Menus : Gauche/Droite" }
text{ key = "help.monsters", value = "Afficher les monstres vaincus :" }
text{ key = "help.move", value = "Déplacer Link :" }
text{ key = "help.pages", value = "Pages : Haut/Bas" }
text{ key = "help.pause", value = "Pause :" }
text{ key = "help.run", value = "Courir :" }
text{ key = "help.save", value = "Sauvegarder / Quitter :" }
text{ key = "help.shift_or_caps_lock", value = "Shift maintenu ou Caps lock" }
text{ key = "help.spin_attack", value = "Attaque Tornade :" }
text{ key = "help.sword", value = "Coup d'épée :" }
text{ key = "help.title", value = "Aide" }
text{ key = "options_menu.back", value = "RETOUR" }
text{ key = "options_menu.language", value = "LANGUE" }
text{ key = "options_menu.music_volume", value = "MUSIQUE" }
text{ key = "options_menu.sound_volume", value = "SON" }
text{ key = "options_menu.title", value = "OPTIONS" }
text{ key = "pause.inventory.crystals", value = "CRISTAUX :" }
text{ key = "pause.inventory.defense", value = "DEFENSE" }
text{ key = "pause.inventory.force", value = "FORCE" }
text{ key = "pause.inventory.life", value = "VIE" }
text{ key = "pause.inventory.magic", value = "MAGIE" }
text{ key = "pause.inventory.status", value = "STATUT :" }
text{ key = "pause.inventory.time", value = "TEMPS" }
text{ key = "pause.monsters.title", value = "MONSTRES" }
text{ key = "records_menu.100_percent_rank", value = "RANG DES 100%" }
text{ key = "records_menu.back", value = "RETOUR" }
text{ key = "records_menu.best_time", value = "MEILLEUR TEMPS :" }
text{ key = "records_menu.clear", value = "EFFACER" }
text{ key = "records_menu.clear_question", value = "EFFACER ?" }
text{ key = "records_menu.no", value = "NON" }
text{ key = "records_menu.rank_100_percent", value = "RANG : Héros d'Hyrule$Finir le jeu à 100%." }
text{ key = "records_menu.rank_speed", value = "RANG : Marathonien d'Hyrule$Finir le jeu en moins de$deux heures." }
text{ key = "records_menu.rank_ultimate", value = "RANG : Frimeur$Finir le jeu sans mourir,$avec 10 coeurs au maximum,$sans parler aux Grandes Fées,$sans acheter de flacons$et sans prendre le bouclier." }
text{ key = "records_menu.speed_rank", value = "RANG DE RAPIDITE" }
text{ key = "records_menu.title", value = "RECORDS" }
text{ key = "records_menu.ultimate_rank", value = "RANG ULTIME" }
text{ key = "records_menu.yes", value = "OUI" }
text{ key = "savegames_menu.cancel", value = "ANNULER" }
text{ key = "savegames_menu.delete", value = "EFFACER" }
text{ key = "savegames_menu.delete_question", value = "EFFACER ?" }
text{ key = "savegames_menu.load", value = "CHARGER" }
text{ key = "savegames_menu.no", value = "NON" }
text{ key = "savegames_menu.options", value = "OPTIONS" }
text{ key = "savegames_menu.records", value = "RECORDS" }
text{ key = "savegames_menu.title", value = "ECRAN DE SELECTION" }
text{ key = "savegames_menu.yes", value = "OUI" }
text{ key = "stats_menu.death_count", value = "Mort $v fois" }
text{ key = "stats_menu.game_time", value = "Temps de jeu :" }
text{ key = "stats_menu.items", value = "Objets :" }
text{ key = "stats_menu.monsters", value = "Types d'ennemis vaincus :" }
text{ key = "stats_menu.percent", value = "Tu as fini ce jeu à $v%, félicitations !" }
text{ key = "stats_menu.pieces_of_heart", value = "Quarts de coeur :" }
text{ key = "stats_menu.rank", value = "RANG :" }
text{ key = "stats_menu.rank.completion.1", value = "Héros d'Hyrule" }
text{ key = "stats_menu.rank.completion.2", value = "Perfectionniste" }
text{ key = "stats_menu.rank.completion.3", value = "Fan de Zelda" }
text{ key = "stats_menu.rank.completion.4", value = "Pro du clavier" }
text{ key = "stats_menu.rank.completion.5", value = "Confirmé" }
text{ key = "stats_menu.rank.completion.6", value = "Débutant" }
text{ key = "stats_menu.rank.death.1", value = "Mort-vivant" }
text{ key = "stats_menu.rank.death.2", value = "Kamikaze" }
text{ key = "stats_menu.rank.speed", value = "Marathonien d'Hyrule" }
text{ key = "stats_menu.rank.ultimate", value = "Frimeur" }
text{ key = "stats_menu.title", value = "SCORES :" }
